Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
9,0.685,7.767,5.049,-2.195,-15.427,-3.902
9.05,0.91,7.958,5.758,4.207,-3.293,-11.037
9.1,-1.018,7.597,6.235,6.768,10.061,-12.073
9.15,0.472,8.552,5.049,9.268,5.976,-11.341
9.2,0.699,7.956,6.009,7.073,7.256,-9.756
9.25,0.996,7.757,5.31,5.427,5.732,-8.049
9.3,-0.163,7.173,6.567,7.195,5.488,-9.39
9.35,0.982,7.266,4.254,2.927,1.463,-8.11
9.4,1.147,7.977,5.248,12.988,3.78,-6.402
9.45,-0.232,7.798,5.128,2.134,3.232,-8.78
9.5,-0.156,6.967,5.265,3.902,0.122,-9.756
9.55,-0.249,8.056,4.499,4.756,0.488,-6.098
9.6,3.723,7.23,3.788,1.951,2.439,-6.341
9.65,-0.089,8.21,4.688,1.585,-1.341,-3.659
9.7,-0.294,8.471,3.546,-1.098,2.5,0.61
9.75,-0.409,8.49,4.966,-0.976,1.098,-2.683
9.8,-0.306,7.513,5.236,-14.634,4.329,-2.073
9.85,-0.026,8.195,4.839,-0.61,1.402,-3.171
9.9,0.22,8.061,4.693,-1.463,1.341,-2.439
9.95,0.218,7.977,4.769,0.427,1.159,-3.232
10,-0.101,8.126,4.798,-0.183,-2.012,-4.329
10.05,-1.173,8.14,4.341,0.793,-2.012,-4.451
10.1,0.132,8.181,4.638,1.159,-2.866,-7.317
10.15,-0.79,8.042,4.685,-6.89,-2.805,-6.037
10.2,-0.022,7.784,4.547,-8.232,-1.829,-9.451
10.25,-1.346,9.098,5.27,-10.244,-10.488,-11.098
10.3,0.232,6.929,5.195,-10.915,-9.939,-15.854
10.35,-0.309,8.056,3.61,-2.378,-17.622,-18.293
10.4,0.771,6.179,4.882,-0.427,-14.817,-18.293
10.45,-0.318,7.075,5.272,9.207,-19.085,-20.305
10.5,2.255,5.906,4.855,14.817,-9.146,-18.902
10.55,1.01,7.922,5.483,16.402,-12.256,-17.195
10.6,-0.369,8.045,5.298,18.78,-11.707,-16.159
10.65,-0.656,7.75,4.381,10.244,-0.671,-11.037
10.7,0.845,8.023,5.191,15.915,-14.329,-6.585
10.75,0.129,8.272,5.037,1.159,6.402,-3.537
10.8,-0.577,8.971,4.647,-3.537,-4.146,-4.634
10.85,-0.213,8.365,5.167,-1.463,0.305,-5.122
10.9,1.147,8.502,4.135,-1.159,2.012,-3.171
10.95,0.041,7.903,4.659,-1.159,1.159,-2.927
11,0.237,8.337,4.152,-1.89,2.073,-1.28
11.05,-0.098,8.528,4.465,15.366,2.561,-3.049
11.1,0.151,8.301,4.307,-0.488,2.439,-1.829
11.15,-0.031,8.519,4.298,-3.415,4.146,-2.256
11.2,0.127,7.755,5.229,-11.951,12.805,0.366
11.25,-0.323,7.527,4.307,-16.524,12.683,4.634
