Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
12.95,-0.419,9.237,-3.23,12.561,-0.122,-5.305
13,-1.013,9.029,-4.082,15.244,2.866,-1.22
13.05,-0.022,9.335,-3.826,22.683,3.598,-8.354
13.1,-0.527,9.984,-4.803,20.732,-1.524,-7.5
13.15,-0.792,11.942,-5.739,18.659,2.622,-2.805
13.2,-1.259,9.692,-5.703,-4.268,0.854,-5.183
13.25,-1.176,9.512,-5.006,-15.915,4.024,-0.793
13.3,-0.151,9.443,-3.845,-13.232,5.793,-2.805
13.35,-0.704,9.615,-4.211,-7.5,11.463,-2.561
13.4,-1.487,9.335,-3.661,-0.183,16.524,7.5
13.45,-0.63,9.522,-3.996,8.049,11.22,6.159
13.5,-1.106,9.517,-4.714,7.683,11.524,6.768
13.55,-0.017,9.548,-5.605,-5.671,10.61,3.354
13.6,-0.939,9.864,-4.336,-9.207,10.976,7.927
13.65,0.093,9.845,-4.324,-7.439,11.89,2.378
13.7,-0.713,10.211,-5.04,-6.402,9.024,7.866
13.75,-0.493,9.534,-4.458,-8.841,7.317,5.366
13.8,-0.323,10.379,-4.717,-23.841,0.549,1.585
13.85,0.462,10.032,-3.304,-20.915,15.305,-4.085
13.9,-0.117,9.795,-3.093,-9.39,0.915,1.646
13.95,-0.304,9.56,-3.986,-7.988,2.988,3.537
14,0.871,10.645,-3.33,-8.354,3.232,-0.854
14.05,-0.053,10.602,-3.567,-7.195,-3.293,0.122
14.1,0.9,9.141,-3.455,-13.171,-5.915,-14.024
14.15,-0.436,9.21,-2.998,-5.61,-3.72,-12.988
14.2,-0.869,9.905,-3.555,-10.732,2.256,-5.488
14.25,0.192,9.052,-3.311,-2.256,-3.415,-9.878
14.3,-0.644,9.747,-3.589,-3.963,-1.28,-7.378
14.35,0.096,10.503,-3.505,-5.244,-5.305,-12.927
14.4,-0.792,10.329,-3.496,-7.378,-0.549,-8.659
14.45,-0.658,10.063,-2.516,-2.988,-0.366,-6.951
14.5,-0.86,9.57,-2.895,3.293,3.293,-4.329
14.55,-0.697,10.532,-3.45,1.341,-0.427,-2.073
14.6,-0.357,10.482,-4.082,-10.671,5.427,-2.134
14.65,-0.644,9.855,-4.106,-34.146,0.244,-4.268
14.7,-0.646,10.398,-2.998,-44.512,3.232,-4.39
14.75,-1.152,9.34,-1.396,-40.488,-0.305,-1.707
14.8,-0.491,9.993,-1.705,-37.256,3.537,0.122
14.85,-0.608,10.168,-1.712,-33.537,3.171,-2.256
14.9,-0.931,10.039,-1.532,-31.707,2.195,-0.854
14.95,-0.419,10.381,-1.513,-34.512,2.378,-3.963
15,-0.74,10.039,-0.757,-33.293,2.927,1.037
15.05,0.311,9.95,-0.275,-46.707,0.488,-3.049
15.1,-0.17,10.092,-0.505,-32.927,3.293,-4.207
15.15,-0.725,10.053,0.5,-34.817,2.439,-0.427
15.2,-0.591,9.809,0.673,-32.927,6.28,1.89
15.25,0.302,9.819,0.498,-34.634,1.707,-3.354
15.3,-1.135,9.091,1.551,-28.293,-15.61,-1.463
