Time,Acc X,Acc Y,Acc Z,Gyro X,Gyro Y,Gyro Z
7.2,-0.153,10.025,-1.662,-2.195,12.744,14.878
7.25,0.579,10.455,-2.531,-5.244,12.256,-3.659
7.3,0.383,10.582,-1.386,-6.159,12.866,-11.22
7.35,0.124,10.494,-1.87,-5.061,3.171,-5.976
7.4,0.625,9.56,-1.724,-3.049,4.024,-4.39
7.45,-0.153,10.125,-1.413,1.402,3.049,-0.183
7.5,0.026,10.075,-2.071,3.598,2.988,1.22
7.55,0.718,10.173,-1.913,-0.122,2.805,-2.622
7.6,0.041,10.264,-1.805,-2.073,2.439,-6.22
7.65,-0.366,10.022,-1.65,0.061,2.927,-1.463
7.7,-0.266,10.159,-1.832,1.159,2.805,0.854
7.75,0.589,9.852,-1.846,1.159,2.317,-3.537
7.8,0.481,10.13,-1.911,-0.854,2.439,-5.488
7.85,-0.213,10.089,-1.832,-1.341,2.561,-2.439
7.9,-0.225,9.993,-1.798,-0.671,2.439,-0.366
7.95,0.378,9.974,-1.832,1.037,2.256,-3.11
8.0,0.359,10.104,-1.92,0.671,2.988,-4.024
8.05,-0.079,10.056,-1.743,-0.915,2.805,-1.768
8.1,-0.079,10.23,-1.805,-0.488,2.5,-0.793
8.15,0.208,10.068,-1.726,0.854,2.866,-2.256
8.2,0.05,10.132,-1.87,15.427,2.683,-3.049
8.25,-0.11,10.127,-1.76,-0.793,2.805,-2.134
8.3,0.057,10.065,-1.729,0.488,2.622,-2.439
8.35,0.038,9.962,-1.781,0.854,2.561,-2.5
8.4,0.074,10.022,-1.69,15.549,2.988,-2.439
8.45,0.232,9.737,-1.353,2.744,2.744,-1.585
8.5,0.5,9.821,-1.477,-3.354,3.598,-2.317
8.55,0.627,10.161,-1.437,-2.744,4.085,-2.317
8.6,-0.05,10.331,-1.563,1.89,2.988,-3.232
8.65,0.699,9.385,-1.839,6.524,2.988,-7.134
8.7,0.045,10.372,-2.737,1.159,3.537,-9.207
8.75,-0.251,10.436,-2.313,-3.963,5.488,-5.427
8.8,-0.017,10.226,-0.986,-3.659,2.622,-2.622
8.85,-0.192,9.914,-1.599,3.841,2.683,-0.793
8.9,0.589,10.233,-1.887,4.024,3.415,-5.671
8.95,0.407,10.542,-1.848,-2.134,3.78,-5.915
9.0,-0.055,9.761,-1.453,-0.244,3.11,-4.939
9.05,0.038,10.132,-1.707,0.061,5.61,-8.293
9.1,-0.187,10.465,-1.884,-0.854,3.659,-4.756
9.15,-0.06,10.084,-2.174,-3.902,3.902,-3.11
9.2,-0.453,10.013,-1.669,-15.488,4.695,-5.061
9.25,-0.323,10.175,-1.853,2.927,3.78,-7.073
9.3,-0.299,9.965,-2.176,1.463,3.11,-4.024
9.35,-0.426,9.862,-1.386,-0.671,2.378,-1.402
9.4,-0.797,9.902,-1.542,-15.122,4.329,-2.195
9.45,-0.326,10.396,-1.614,0.793,8.049,-4.939
9.5,0.357,11.1,-2.011,-6.22,1.463,-18.11
9.55,0.168,10.556,-1.784,-10.793,2.439,-31.463
9.6,-0.115,10.23,-1.551,-9.634,10.061,-24.634
9.65,-0.249,9.744,-1.312,-5.366,12.988,-29.817
9.7,-0.62,10.331,-1.439,-7.805,15.0,-29.39
9.75,-1.942,10.151,-1.923,-6.037,19.024,-18.72
9.8,-3.333,10.276,-1.154,-15.122,13.171,-3.537
9.85,-1.987,10.142,-1.695,-16.22,10.305,2.378
9.9,-1.348,10.068,-1.106,-13.902,11.707,-2.073
9.95,-1.767,9.538,-1.259,-11.829,17.012,15.183
10.0,-0.982,9.946,-0.572,-8.293,22.561,4.329
10.05,-2.011,9.948,-0.682,-2.805,22.256,5.915
10.1,-1.597,10.47,-1.092,15.061,20.244,11.037
10.15,-1.923,9.1,-1.164,4.878,16.463,13.11
10.2,-1.003,9.924,-1.793,8.598,2.683,5.427
10.25,-0.39,10.606,-1.547,-3.293,1.28,3.232
10.3,-0.486,9.744,-1.276,-6.28,-0.854,-3.354
10.35,-0.946,10.015,-0.821,-4.634,-0.549,-5.183
10.4,-0.79,9.189,-0.912,-1.159,2.988,-5.183
10.45,-1.13,10.195,-0.481,6.098,6.524,-11.159
10.5,-0.579,10.214,-1.053,11.646,7.561,-19.329
10.55,-0.388,10.63,-1.094,10.488,3.476,-25.305
10.6,-0.977,10.793,-2.2,5.488,5.793,-29.573
