Time,BODY_LSHO,BODY_LUPA,BODY_LELB,BODY_LHAN,BODY_RSHO,BODY_RUPA,BODY_RELB,BODY_RHAN,BODY_LHIP,BODY_LTHI,BODY_LKNE,BODY_LSHI,BODY_LANK,BODY_RHIP,BODY_RTHI,BODY_RKNE,BODY_RSHI,BODY_RANK,HEAD_UD,HEAD_LR
750,969,778,574,498,45,219,420,499,530,850,888,438,523,497,219,41,685,500,1500,1500
750,966,731,572,498,45,229,421,499,530,851,504,785,509,493,156,500,220,486,1500,1500
750,1000,722,574,498,0,226,420,499,530,851,323,950,510,495,158,694,46,486,1500,1500
750,999,723,573,498,0,227,421,499,528,850,320,943,510,496,158,693,51,489,1500,1500
750,998,616,572,498,0,225,420,499,524,801,324,946,510,495,206,690,47,490,1500,1500
750,606,580,574,498,0,509,422,499,513,732,324,946,502,495,275,691,47,492,1500,1500
750,433,580,574,498,539,511,422,499,514,732,324,945,502,494,274,690,47,491,1500,1500
750,139,736,925,497,869,304,50,499,506,732,324,946,501,494,275,691,47,491,1500,1500
750,139,736,925,498,870,304,51,499,506,510,323,858,500,498,490,692,117,492,1500,1500
750,139,736,926,497,869,304,50,499,517,738,324,946,502,496,257,673,45,492,1500,1500
750,139,736,926,498,869,304,49,499,506,738,324,950,501,498,256,673,45,491,1500,1500
750,138,736,926,498,869,304,50,499,507,503,324,850,500,521,477,684,65,491,1500,1500
750,139,733,925,498,868,308,50,499,508,506,323,855,500,517,473,682,64,492,1500,1500
750,139,732,926,498,868,308,51,499,507,741,325,950,500,519,254,681,44,492,1500,1500
750,139,732,926,498,868,308,50,499,506,537,321,885,500,518,445,681,61,491,1500,1500
750,139,733,926,498,868,307,49,499,507,738,324,948,500,518,259,676,45,492,1500,1500
750,139,733,926,498,868,307,49,499,507,510,321,873,500,518,466,676,46,491,1500,1500
750,139,733,926,498,868,307,48,499,508,738,325,950,500,517,246,674,46,491,1500,1500
750,139,733,926,498,868,308,49,499,508,534,324,875,501,518,439,674,46,491,1500,1500
750,139,733,926,497,868,307,48,499,508,738,325,950,500,508,256,676,45,492,1500,1500
750,139,733,926,497,868,308,48,499,509,529,323,873,500,508,465,677,133,492,1500,1500
750,139,733,925,498,868,307,49,498,507,530,323,876,499,509,464,675,132,490,1500,1500
750,139,732,924,498,868,306,50,498,507,529,323,876,500,508,463,675,132,490,1500,1500
750,139,733,924,498,868,306,49,498,499,505,321,858,488,509,375,748,251,490,1500,1500
750,139,733,926,498,868,306,49,499,499,503,321,857,488,502,201,147,377,489,1500,1500
750,328,866,584,498,760,181,377,499,499,521,324,860,488,503,201,147,378,491,1500,1500
750,328,473,567,498,670,516,443,499,500,543,324,859,488,500,197,148,377,492,1500,1500
400,337,406,570,498,670,593,440,499,500,530,324,860,488,502,197,147,377,492,1500,1500
750,337,407,570,498,670,592,441,499,500,498,321,856,488,512,195,90,382,492,1500,1500
750,335,302,570,498,670,725,439,499,500,538,324,856,488,511,196,90,382,490,1500,1500
750,336,253,570,498,670,728,440,499,501,585,324,831,488,509,303,41,686,492,1500,1500
750,337,188,570,497,629,837,442,499,490,588,292,840,465,509,294,41,707,489,1500,1500
750,337,308,570,498,626,836,439,499,491,825,512,849,446,512,295,41,688,485,1500,1500
750,337,267,497,498,628,837,440,499,491,825,635,847,446,509,292,42,691,489,1500,1500
750,337,228,499,498,598,837,441,499,498,779,703,587,509,511,300,41,702,511,1500,1500
750,337,316,498,498,598,837,441,499,552,758,677,612,498,519,597,67,958,507,1500,1500
750,391,145,504,497,617,838,442,499,610,850,673,679,493,504,520,43,958,456,1500,1500
750,424,233,501,498,616,834,437,499,606,846,677,677,494,507,528,43,959,457,1500,1500
750,135,234,502,498,617,834,437,499,617,846,322,850,538,505,440,45,962,458,1500,1500
750,77,233,502,498,616,834,436,499,632,849,245,893,541,505,442,46,961,457,1500,1500
750,43,233,503,498,616,834,437,499,631,849,225,892,540,506,443,46,961,458,1500,1500
750,43,233,502,498,616,834,437,499,635,850,145,926,537,554,443,232,962,456,1500,1500
750,43,234,503,498,613,834,437,499,638,850,146,928,533,548,444,229,961,457,1500,1500
750,0,233,502,498,613,834,437,499,636,850,139,926,536,547,444,230,961,460,1500,1500
750,0,235,502,498,613,834,437,499,666,850,134,896,575,546,445,228,960,461,1500,1500
750,0,235,503,498,614,834,437,499,660,825,138,906,591,526,240,41,959,470,1500,1500
750,0,237,502,497,613,582,436,499,569,770,135,877,580,443,255,41,960,465,1500,1500
750,0,355,502,498,613,582,436,499,570,770,135,877,581,443,256,42,959,465,1500,1500
750,0,353,502,498,613,582,437,499,545,784,430,612,575,423,249,220,762,465,1500,1500
750,0,352,501,498,613,582,437,499,545,706,430,559,559,447,279,314,679,468,1500,1500
750,0,352,503,498,613,581,437,499,543,629,431,491,554,448,383,412,678,468,1500,1500
750,0,352,502,498,613,582,437,499,545,626,569,355,553,449,381,372,700,465,1500,1500
750,250,568,501,498,613,582,436,500,515,629,782,242,532,448,380,164,808,468,1500,1500
750,250,569,502,498,613,581,436,499,517,594,612,294,529,450,358,342,684,467,1500,1500
750,504,601,502,498,565,480,437,499,517,596,611,291,529,448,359,343,699,467,1500,1500
750,504,601,502,498,1000,481,437,499,517,597,618,290,530,448,360,342,698,466,1500,1500
750,504,601,503,498,0,481,437,499,517,594,620,293,532,448,358,321,700,467,1500,1500
750,504,601,502,498,255,480,436,499,517,594,670,291,532,448,359,282,698,468,1500,1500
750,504,602,503,498,255,480,436,499,517,680,716,293,532,448,322,244,737,468,1500,1500
750,689,776,571,498,311,220,425,499,504,579,509,397,497,496,424,488,605,499,1500,1500
